tile,assignment_id,Class,dataset,rscore,rscore2,Rscore,x,y,farea,fprop,cntry,year,label_group,usage,label,image
GH0179159,4179,2,v2.0.0,1,0,0.6625,-1.0135,9.5375,4.51835828,0.630879305,GH,2021,3,train,3cl/v2-0-0/labels/GH0179159_4179_2021-04.tif,3cl/v2-0-0/images/GH0179159_2021-04.tif
GH0258585,4182,2,v2.0.0,,,0.6625,-1.4935,8.9125,1.265583189,0.115015147,GH,2021,3,train,3cl/v2-0-0/labels/GH0258585_4182_2021-12.tif,3cl/v2-0-0/images/GH0258585_2021-12.tif
GH0267123,4183,2,v2.0.0,,,0.6625,0.3015,8.8475,5.211447622,0.866549745,GH,2018,3,train,3cl/v2-0-0/labels/GH0267123_4183_2018-02.tif,3cl/v2-0-0/images/GH0267123_2018-02.tif
GH0336560,4186,2,v2.0.0,1,0,0.6625,0.0665,8.2875,2.098741537,0.860790019,GH,2018,3,train,3cl/v2-0-0/labels/GH0336560_4186_2018-02.tif,3cl/v2-0-0/images/GH0336560_2018-02.tif
GH0365758,4188,2,v2.0.0,,,0.6625,0.1665,8.0575,1.341108742,0.198282047,GH,2019,3,train,3cl/v2-0-0/labels/GH0365758_4188_2019-02.tif,3cl/v2-0-0/images/GH0365758_2019-02.tif
GH0273176,4184,2,v2.0.0,,,0.768722467,-0.4435,8.7975,0.40193073,0.058972417,GH,2019,3,train,3cl/v2-0-0/labels/GH0273176_4184_2019-02.tif,3cl/v2-0-0/images/GH0273176_2019-02.tif
GH0377565,4189,2,v2.0.0,,,0.6625,0.2565,7.9675,1.072471804,0.153958068,GH,2020,3,train,3cl/v2-0-0/labels/GH0377565_4189_2020-12.tif,3cl/v2-0-0/images/GH0377565_2020-12.tif
GH0453460,4191,2,v2.0.0,,,0.6625,-2.8735,7.4125,2.921653932,0.457489636,GH,2020,3,train,3cl/v2-0-0/labels/GH0453460_4191_2020-02.tif,3cl/v2-0-0/images/GH0453460_2020-02.tif
GH0559327,4193,2,v2.0.0,,,0.6625,-0.1585,6.6975,0,0,GH,2019,3,validate,3cl/v2-0-0/labels/GH0559327_4193_2019-08.tif,3cl/v2-0-0/images/GH0559327_2019-08.tif
GH0424069,4190,2,v2.0.0,,,0.768722467,-1.1935,7.6275,1.027913953,0.551478795,GH,2020,3,train,3cl/v2-0-0/labels/GH0424069_4190_2020-12.tif,3cl/v2-0-0/images/GH0424069_2020-12.tif
GH0601808,4194,2,v2.0.0,,,0.6625,0.1515,6.4275,1.063857805,0.550681601,GH,2020,3,train,3cl/v2-0-0/labels/GH0601808_4194_2020-12.tif,3cl/v2-0-0/images/GH0601808_2020-12.tif
GH0670260,4195,2,v2.0.0,,,0.768722467,0.8015,6.0175,0.367596968,0.100047832,GH,2020,3,train,3cl/v2-0-0/labels/GH0670260_4195_2020-02.tif,3cl/v2-0-0/images/GH0670260_2020-02.tif
GH0673552,4196,2,v2.0.0,,,0.6625,0.6915,5.9975,1.258129347,0.058494101,GH,2021,3,train,3cl/v2-0-0/labels/GH0673552_4196_2021-03.tif,3cl/v2-0-0/images/GH0673552_2021-03.tif
GH0754017,4197,2,v2.0.0,,,0.768722467,-0.7185,5.3625,0,0,GH,2020,3,train,3cl/v2-0-0/labels/GH0754017_4197_2020-02.tif,3cl/v2-0-0/images/GH0754017_2020-02.tif
GH0296043,4697,2,v2.0.0,,,0.6625,0.2015,8.6075,2.362708978,0.525530134,GH,2020,3,train,3cl/v2-0-0/labels/GH0296043_4697_2020-12.tif,3cl/v2-0-0/images/GH0296043_2020-12.tif
GH0338316,4700,2,v2.0.0,,,0.6625,-0.7535,8.2725,3.736032613,0.103276467,GH,2020,3,train,3cl/v2-0-0/labels/GH0338316_4700_2020-07.tif,3cl/v2-0-0/images/GH0338316_2020-07.tif
GH0001314,5297,2,v2.0.0,,,0.694174757,-0.2885,11.0475,0,0,GH,2022,3,train,3cl/v2-0-0/labels/GH0001314_5297_2022-08.tif,3cl/v2-0-0/images/GH0001314_2022-08.tif
GH0041148,5299,2,v2.0.0,,,0.694174757,-0.4035,10.6525,1.699416219,0.444415657,GH,2021,3,train,3cl/v2-0-0/labels/GH0041148_5299_2021-03.tif,3cl/v2-0-0/images/GH0041148_2021-03.tif
GH0087266,5301,2,v2.0.0,1.25,0.5,0.694174757,-1.0735,10.2725,0.513964785,0.02349729,GH,2018,3,validate,3cl/v2-0-0/labels/GH0087266_5301_2018-02.tif,3cl/v2-0-0/images/GH0087266_2018-02.tif
GH0124486,5302,2,v2.0.0,,,0.694174757,-0.7535,9.9775,0.241700924,0.090322066,GH,2019,3,train,3cl/v2-0-0/labels/GH0124486_5302_2019-02.tif,3cl/v2-0-0/images/GH0124486_2019-02.tif
GH0194608,5303,2,v2.0.0,1,0,0.728205128,-0.1185,9.4125,0.203236418,0.082270408,GH,2021,3,train,3cl/v2-0-0/labels/GH0194608_5303_2021-04.tif,3cl/v2-0-0/images/GH0194608_2021-04.tif
GH0202899,5305,2,v2.0.0,,,0.694174757,-0.8185,9.3475,0,0,GH,2020,3,train,3cl/v2-0-0/labels/GH0202899_5305_2020-02.tif,3cl/v2-0-0/images/GH0202899_2020-02.tif
GH0234379,5309,2,v2.0.0,,,0.728205128,-1.6235,9.1025,0,0,GH,2019,3,validate,3cl/v2-0-0/labels/GH0234379_5309_2019-02.tif,3cl/v2-0-0/images/GH0234379_2019-02.tif
GH0226805,5307,2,v2.0.0,,,0.694174757,-0.6085,9.1625,0.701681196,0.370515784,GH,2019,3,train,3cl/v2-0-0/labels/GH0226805_5307_2019-02.tif,3cl/v2-0-0/images/GH0226805_2019-02.tif
GH0255640,5311,2,v2.0.0,,,0.694174757,-0.4335,8.9375,0,0,GH,2022,3,train,3cl/v2-0-0/labels/GH0255640_5311_2022-04.tif,3cl/v2-0-0/images/GH0255640_2022-04.tif
GH0332559,5312,2,v2.0.0,,,0.694174757,-0.5485,8.3175,0.941233297,0.066605548,GH,2021,3,train,3cl/v2-0-0/labels/GH0332559_5312_2021-03.tif,3cl/v2-0-0/images/GH0332559_2021-03.tif
GH0340856,5313,2,v2.0.0,,,0.694174757,-0.7135,8.2525,0,0,GH,2021,3,train,3cl/v2-0-0/labels/GH0340856_5313_2021-03.tif,3cl/v2-0-0/images/GH0340856_2021-03.tif
GH0234679,5310,2,v2.0.0,,,0.728205128,-0.1235,9.1025,0.323406768,0.343411193,GH,2022,3,train,3cl/v2-0-0/labels/GH0234679_5310_2022-04.tif,3cl/v2-0-0/images/GH0234679_2022-04.tif
GH0415714,5314,2,v2.0.0,,,0.694174757,-1.1985,7.6875,0.542216767,0.040238361,GH,2022,3,train,3cl/v2-0-0/labels/GH0415714_5314_2022-12.tif,3cl/v2-0-0/images/GH0415714_2022-12.tif
GH0559792,5316,2,v2.0.0,,,0.630252101,-1.6935,6.6925,0.28963274,0.115632972,GH,2020,3,train,3cl/v2-0-0/labels/GH0559792_5316_2020-12.tif,3cl/v2-0-0/images/GH0559792_2020-12.tif
GH0653149,5317,2,v2.0.0,,,0.728205128,-0.2535,6.1175,0.225983535,0.053093112,GH,2019,3,train,3cl/v2-0-0/labels/GH0653149_5317_2019-02.tif,3cl/v2-0-0/images/GH0653149_2019-02.tif
GH0680809,5318,2,v2.0.0,,,0.630252101,-0.0185,5.9525,0.747925318,0.418586575,GH,2020,3,train,3cl/v2-0-0/labels/GH0680809_5318_2020-12.tif,3cl/v2-0-0/images/GH0680809_2020-12.tif
GH0228203,5308,2,v2.0.0,,,0.768722467,-0.0885,9.1525,2.27962246,0.425382653,GH,2019,3,train,3cl/v2-0-0/labels/GH0228203_5308_2019-02.tif,3cl/v2-0-0/images/GH0228203_2019-02.tif
GH0554610,5315,2,v2.0.0,,,0.768722467,-0.6535,6.7275,0.631920823,0.065728635,GH,2020,3,train,3cl/v2-0-0/labels/GH0554610_5315_2020-02.tif,3cl/v2-0-0/images/GH0554610_2020-02.tif
GH0046312,6373,2,v2.0.0,,,0.768722467,-0.6185,10.6075,1.120277685,0.308793048,GH,2018,3,train,3cl/v2-0-0/labels/GH0046312_6373_2018-02.tif,3cl/v2-0-0/images/GH0046312_2018-02.tif
GH0083441,6376,2,v2.0.0,,,0.768722467,-0.9585,10.3025,2.05663042,0.527264031,GH,2020,3,train,3cl/v2-0-0/labels/GH0083441_6376_2020-02.tif,3cl/v2-0-0/images/GH0083441_2020-02.tif
GH0115640,6379,2,v2.0.0,1,0,0.694174757,-0.9135,10.0475,0.508223404,0.108916614,GH,2020,3,train,3cl/v2-0-0/labels/GH0115640_6379_2020-02.tif,3cl/v2-0-0/images/GH0115640_2020-02.tif
GH0131373,6381,2,v2.0.0,,,0.694174757,-0.7085,9.9225,0,0,GH,2020,3,train,3cl/v2-0-0/labels/GH0131373_6381_2020-02.tif,3cl/v2-0-0/images/GH0131373_2020-02.tif
GH0125771,6380,2,v2.0.0,,,0.728205128,-0.5535,9.9675,0,0,GH,2017,3,train,3cl/v2-0-0/labels/GH0125771_6380_2017-02.tif,3cl/v2-0-0/images/GH0125771_2017-02.tif
GH0253916,6384,2,v2.0.0,,,0.768722467,0.4315,8.9525,1.008554544,0.147660236,GH,2018,3,validate,3cl/v2-0-0/labels/GH0253916_6384_2018-02.tif,3cl/v2-0-0/images/GH0253916_2018-02.tif
GH0482543,6391,2,v2.0.0,,,0.870748299,-1.5735,7.2125,1.496104287,0.627989477,GH,2022,3,train,3cl/v2-0-0/labels/GH0482543_6391_2022-12.tif,3cl/v2-0-0/images/GH0482543_2022-12.tif
GH0195998,6383,2,v2.0.0,,,0.728205128,0.3515,9.4025,0.395322075,0.204819037,GH,2017,3,validate,3cl/v2-0-0/labels/GH0195998_6383_2017-02.tif,3cl/v2-0-0/images/GH0195998_2017-02.tif
GH0276922,6385,2,v2.0.0,,,0.768722467,0.2465,8.7675,0.327579465,0.081074617,GH,2021,3,train,3cl/v2-0-0/labels/GH0276922_6385_2021-12.tif,3cl/v2-0-0/images/GH0276922_2021-12.tif
GH0483312,6392,2,v2.0.0,,,0.870748299,-1.3335,7.2075,1.287695623,0.631198182,GH,2020,3,train,3cl/v2-0-0/labels/GH0483312_6392_2020-12.tif,3cl/v2-0-0/images/GH0483312_2020-12.tif
GH0556934,6393,2,v2.0.0,1,0,0.870748299,-0.5635,6.7125,2.232816803,0.372329401,GH,2021,3,train,3cl/v2-0-0/labels/GH0556934_6393_2021-03.tif,3cl/v2-0-0/images/GH0556934_2021-03.tif
GH0654140,6396,2,v2.0.0,,,0.870748299,0.4115,6.1125,1.178789402,0.563217474,GH,2017,3,train,3cl/v2-0-0/labels/GH0654140_6396_2017-02.tif,3cl/v2-0-0/images/GH0654140_2017-02.tif
GH0029282,6372,2,v2.0.0,,,0.811740891,-2.7485,10.7525,0.280414035,0.794722577,GH,2018,3,train,3cl/v2-0-0/labels/GH0029282_6372_2018-02.tif,3cl/v2-0-0/images/GH0029282_2018-02.tif
GH0071481,7407,2,v2.0.0,,,0.630252101,-0.8785,10.3975,0,0,GH,2019,3,train,3cl/v2-0-0/labels/GH0071481_7407_2019-02.tif,3cl/v2-0-0/images/GH0071481_2019-02.tif
GH0087864,7409,2,v2.0.0,,,0.630252101,-1.2535,10.2675,1.570762641,0.95699139,GH,2021,3,train,3cl/v2-0-0/labels/GH0087864_7409_2021-04.tif,3cl/v2-0-0/images/GH0087864_2021-04.tif
GH0187778,7412,2,v2.0.0,,,0.630252101,0.1215,9.4675,0,0,GH,2018,3,train,3cl/v2-0-0/labels/GH0187778_7412_2018-02.tif,3cl/v2-0-0/images/GH0187778_2018-02.tif
GH0082211,7408,2,v2.0.0,,,0.728205128,-0.7785,10.3125,0.597448109,0.529117506,GH,2018,3,train,3cl/v2-0-0/labels/GH0082211_7408_2018-02.tif,3cl/v2-0-0/images/GH0082211_2018-02.tif
GH0176244,7411,2,v2.0.0,,,0.830310881,-0.6285,9.5625,0.822144039,0.815768495,GH,2019,3,train,3cl/v2-0-0/labels/GH0176244_7411_2019-02.tif,3cl/v2-0-0/images/GH0176244_2019-02.tif
GH0197612,7415,2,v2.0.0,,,0.728205128,-1.3035,9.3875,1.503560441,0.658781091,GH,2022,3,train,3cl/v2-0-0/labels/GH0197612_7415_2022-12.tif,3cl/v2-0-0/images/GH0197612_2022-12.tif
GH0252525,7418,2,v2.0.0,,,0.728205128,-0.2185,8.9625,1.422244496,0.332868304,GH,2019,3,validate,3cl/v2-0-0/labels/GH0252525_7418_2019-02.tif,3cl/v2-0-0/images/GH0252525_2019-02.tif
GH0295264,7420,2,v2.0.0,,,0.728205128,-0.6685,8.6125,0,0,GH,2021,3,train,3cl/v2-0-0/labels/GH0295264_7420_2021-12.tif,3cl/v2-0-0/images/GH0295264_2021-12.tif
GH0189403,7413,2,v2.0.0,,,0.630252101,-0.9685,9.4525,0.456532228,0.467334981,GH,2022,3,train,3cl/v2-0-0/labels/GH0189403_7413_2022-04.tif,3cl/v2-0-0/images/GH0189403_2022-04.tif
GH0210710,7416,2,v2.0.0,,,0.768722467,-0.8685,9.2875,1.703889581,0.468929369,GH,2019,3,train,3cl/v2-0-0/labels/GH0210710_7416_2019-02.tif,3cl/v2-0-0/images/GH0210710_2019-02.tif
GH0194073,7414,2,v2.0.0,,,0.6625,0.4465,9.4175,0.81374326,0.834363042,GH,2021,3,train,3cl/v2-0-0/labels/GH0194073_7414_2021-03.tif,3cl/v2-0-0/images/GH0194073_2021-03.tif
GH0648284,7423,2,v2.0.0,,,0.830310881,1.1765,6.1475,0.414847059,0.247747927,GH,2020,3,train,3cl/v2-0-0/labels/GH0648284_7423_2020-12.tif,3cl/v2-0-0/images/GH0648284_2020-12.tif
GH0571702,7422,2,v2.0.0,,,0.630252101,-0.3385,6.6175,0.289167681,0.758848852,GH,2017,3,train,3cl/v2-0-0/labels/GH0571702_7422_2017-02.tif,3cl/v2-0-0/images/GH0571702_2017-02.tif
GH0019926,8498,2,v2.0.0,,,0.694174757,-1.2135,10.8375,0.336598579,0.132493622,GH,2017,3,validate,3cl/v2-0-0/labels/GH0019926_8498_2017-02.tif,3cl/v2-0-0/images/GH0019926_2017-02.tif
GH0051665,8501,2,v2.0.0,,,0.830310881,-0.5235,10.5625,0.681753908,0.091996173,GH,2020,3,train,3cl/v2-0-0/labels/GH0051665_8501_2020-02.tif,3cl/v2-0-0/images/GH0051665_2020-02.tif
GH0166334,8502,2,v2.0.0,,,0.830310881,-0.1785,9.6425,0.337646566,0.201411033,GH,2018,3,train,3cl/v2-0-0/labels/GH0166334_8502_2018-02.tif,3cl/v2-0-0/images/GH0166334_2018-02.tif
GH0040567,8500,2,v2.0.0,,,0.694174757,-0.4435,10.6575,0.516887053,0.43363361,GH,2021,3,train,3cl/v2-0-0/labels/GH0040567_8500_2021-03.tif,3cl/v2-0-0/images/GH0040567_2021-03.tif
GH0295170,8505,2,v2.0.0,,,0.768722467,-1.1385,8.6125,0,0,GH,2020,3,train,3cl/v2-0-0/labels/GH0295170_8505_2020-02.tif,3cl/v2-0-0/images/GH0295170_2020-02.tif
GH0472092,8507,2,v2.0.0,,,0.694174757,0.3015,7.2875,0.421858115,0.12894611,GH,2021,3,train,3cl/v2-0-0/labels/GH0472092_8507_2021-03.tif,3cl/v2-0-0/images/GH0472092_2021-03.tif
GH0696098,8509,2,v2.0.0,,,0.694174757,-0.3835,5.8575,0.418975499,0.124760842,GH,2022,3,train,3cl/v2-0-0/labels/GH0696098_8509_2022-12.tif,3cl/v2-0-0/images/GH0696098_2022-12.tif
GH0302106,8506,2,v2.0.0,,,0.830310881,-0.0135,8.5575,0.468614977,0.539321588,GH,2021,3,train,3cl/v2-0-0/labels/GH0302106_8506_2021-12.tif,3cl/v2-0-0/images/GH0302106_2021-12.tif
GH0204223,8503,2,v2.0.0,,,0.728205128,-0.6985,9.3375,0.462221899,0.384307239,GH,2022,3,train,3cl/v2-0-0/labels/GH0204223_8503_2022-04.tif,3cl/v2-0-0/images/GH0204223_2022-04.tif
GH0036040,9581,2,v2.0.0,,,0.825,-0.3335,10.6975,0.324545358,0.185267857,GH,2021,3,train,3cl/v2-0-0/labels/GH0036040_9581_2021-03.tif,3cl/v2-0-0/images/GH0036040_2021-03.tif
GH0161322,9586,2,v2.0.0,,,0.825,-0.3085,9.6825,1.35599466,0.822046397,GH,2020,3,train,3cl/v2-0-0/labels/GH0161322_9586_2020-02.tif,3cl/v2-0-0/images/GH0161322_2020-02.tif
GH0198922,9587,2,v2.0.0,,,0.630252101,-1.2335,9.3775,0.165574627,0.27345743,GH,2021,3,train,3cl/v2-0-0/labels/GH0198922_9587_2021-12.tif,3cl/v2-0-0/images/GH0198922_2021-12.tif
GH0209587,9588,2,v2.0.0,,,0.825,0.0065,9.2975,0.706539433,0.65104831,GH,2022,3,train,3cl/v2-0-0/labels/GH0209587_9588_2022-04.tif,3cl/v2-0-0/images/GH0209587_2022-04.tif
GH0260500,9592,2,v2.0.0,,,0.825,-1.3535,8.8975,0.707158092,0.104671556,GH,2020,3,validate,3cl/v2-0-0/labels/GH0260500_9592_2020-12.tif,3cl/v2-0-0/images/GH0260500_2020-12.tif
GH0299113,9593,2,v2.0.0,,,0.825,0.3615,8.5825,0.499692348,0.816485969,GH,2022,3,train,3cl/v2-0-0/labels/GH0299113_9593_2022-12.tif,3cl/v2-0-0/images/GH0299113_2022-12.tif
GH0538564,9597,2,v2.0.0,,,0.825,-0.9685,6.8325,1.436380838,0.189194037,GH,2021,3,train,3cl/v2-0-0/labels/GH0538564_9597_2021-12.tif,3cl/v2-0-0/images/GH0538564_2021-12.tif
GH0632277,9599,2,v2.0.0,,,0.825,0.8965,6.2425,0.46362719,0.31768176,GH,2022,3,train,3cl/v2-0-0/labels/GH0632277_9599_2022-12.tif,3cl/v2-0-0/images/GH0632277_2022-12.tif
GH0632138,9598,2,v2.0.0,,,0.630252101,0.2015,6.2425,0.281836189,0.186543367,GH,2020,3,train,3cl/v2-0-0/labels/GH0632138_9598_2020-02.tif,3cl/v2-0-0/images/GH0632138_2020-02.tif
GH0003195,10642,2,v2.0.0,,,0.630252101,-1.2135,10.9875,0,0,GH,2020,3,validate,3cl/v2-0-0/labels/GH0003195_10642_2020-02.tif,3cl/v2-0-0/images/GH0003195_2020-02.tif
GH0026749,10644,2,v2.0.0,,,0.630252101,-1.2535,10.7775,0.300144881,0.00649713,GH,2019,3,train,3cl/v2-0-0/labels/GH0026749_10644_2019-02.tif,3cl/v2-0-0/images/GH0026749_2019-02.tif
GH0041144,10645,2,v2.0.0,,,0.630252101,-0.4235,10.6525,0.387299919,0.086216518,GH,2021,3,train,3cl/v2-0-0/labels/GH0041144_10645_2021-03.tif,3cl/v2-0-0/images/GH0041144_2021-03.tif
